SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2AAG_m1A_10C/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

237 points for Peak 1

Converged after 274 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.034e-002    1.032e+000  
T     =      11.640s      154.638s  

RSS   =   1.262e-003
SD    =   2.307e-003

Point       Tau          Expt          Calc       Difference
   56      56.000s    7.203e-001    7.182e-001   -2.060e-003
   57      57.000s    7.156e-001    7.136e-001   -2.055e-003
   58      58.000s    7.110e-001    7.090e-001   -2.041e-003
   59      59.000s    7.064e-001    7.045e-001   -1.992e-003
   60      60.000s    7.018e-001    6.999e-001   -1.875e-003
   61      61.000s    6.972e-001    6.954e-001   -1.815e-003
   62      62.000s    6.927e-001    6.910e-001   -1.755e-003
   63      63.000s    6.882e-001    6.865e-001   -1.657e-003
   64      64.000s    6.837e-001    6.821e-001   -1.614e-003
   65      65.000s    6.792e-001    6.777e-001   -1.476e-003
   66      66.000s    6.747e-001    6.734e-001   -1.361e-003
   67      67.000s    6.704e-001    6.690e-001   -1.334e-003
   68      68.000s    6.660e-001    6.647e-001   -1.325e-003
   69      69.000s    6.617e-001    6.604e-001   -1.249e-003
   70      70.000s    6.573e-001    6.562e-001   -1.155e-003
   71      71.000s    6.530e-001    6.520e-001   -1.072e-003
   72      72.000s    6.488e-001    6.478e-001   -9.859e-004
   73      73.000s    6.444e-001    6.436e-001   -8.302e-004
   74      74.000s    6.401e-001    6.395e-001   -6.487e-004
   75      75.000s    6.359e-001    6.353e-001   -5.977e-004
   76      76.000s    6.318e-001    6.312e-001   -5.342e-004
   77      77.000s    6.276e-001    6.272e-001   -4.245e-004
   78      78.000s    6.234e-001    6.231e-001   -3.098e-004
   79      79.000s    6.194e-001    6.191e-001   -2.404e-004
   80      80.000s    6.152e-001    6.151e-001   -1.132e-004
   81      81.000s    6.112e-001    6.112e-001    1.013e-005
   82      82.000s    6.071e-001    6.072e-001    1.238e-004
   83      83.000s    6.032e-001    6.033e-001    1.671e-004
   84      84.000s    5.992e-001    5.994e-001    2.080e-004
   85      85.000s    5.952e-001    5.956e-001    3.475e-004
   86      86.000s    5.913e-001    5.917e-001    4.650e-004
   87      87.000s    5.873e-001    5.879e-001    5.991e-004
   88      88.000s    5.834e-001    5.841e-001    6.983e-004
   89      89.000s    5.796e-001    5.804e-001    7.573e-004
   90      90.000s    5.758e-001    5.766e-001    8.610e-004
   91      91.000s    5.719e-001    5.729e-001    9.818e-004
   92      92.000s    5.682e-001    5.692e-001    1.053e-003
   93      93.000s    5.644e-001    5.656e-001    1.119e-003
   94      94.000s    5.607e-001    5.619e-001    1.160e-003
   95      95.000s    5.570e-001    5.583e-001    1.241e-003
   96      96.000s    5.534e-001    5.547e-001    1.286e-003
   97      97.000s    5.497e-001    5.511e-001    1.402e-003
   98      98.000s    5.460e-001    5.476e-001    1.543e-003
   99      99.000s    5.424e-001    5.440e-001    1.641e-003
  100     100.000s    5.388e-001    5.405e-001    1.712e-003
  101     101.000s    5.353e-001    5.370e-001    1.718e-003
  102     102.000s    5.318e-001    5.336e-001    1.789e-003
  103     103.000s    5.282e-001    5.301e-001    1.947e-003
  104     104.000s    5.247e-001    5.267e-001    2.024e-003
  105     105.000s    5.213e-001    5.233e-001    2.011e-003
  106     106.000s    5.179e-001    5.200e-001    2.056e-003
  107     107.000s    5.144e-001    5.166e-001    2.184e-003
  108     108.000s    5.110e-001    5.133e-001    2.241e-003
  109     109.000s    5.077e-001    5.100e-001    2.273e-003
  110     110.000s    5.044e-001    5.067e-001    2.326e-003
  111     111.000s    5.010e-001    5.034e-001    2.394e-003
  112     112.000s    4.977e-001    5.002e-001    2.427e-003
  113     113.000s    4.945e-001    4.969e-001    2.462e-003
  114     114.000s    4.912e-001    4.937e-001    2.577e-003
  115     115.000s    4.879e-001    4.906e-001    2.648e-003
  116     116.000s    4.847e-001    4.874e-001    2.715e-003
  117     117.000s    4.815e-001    4.843e-001    2.732e-003
  118     118.000s    4.785e-001    4.811e-001    2.674e-003
  119     119.000s    4.753e-001    4.780e-001    2.697e-003
  120     120.000s    4.722e-001    4.750e-001    2.748e-003
  121     121.000s    4.691e-001    4.719e-001    2.810e-003
  122     122.000s    4.660e-001    4.689e-001    2.833e-003
  123     123.000s    4.630e-001    4.658e-001    2.784e-003
  124     124.000s    4.600e-001    4.628e-001    2.790e-003
  125     125.000s    4.571e-001    4.598e-001    2.789e-003
  126     126.000s    4.541e-001    4.569e-001    2.827e-003
  127     127.000s    4.511e-001    4.539e-001    2.869e-003
  128     128.000s    4.481e-001    4.510e-001    2.938e-003
  129     129.000s    4.452e-001    4.481e-001    2.943e-003
  130     130.000s    4.424e-001    4.452e-001    2.858e-003
  131     131.000s    4.395e-001    4.423e-001    2.819e-003
  132     132.000s    4.366e-001    4.395e-001    2.921e-003
  133     133.000s    4.337e-001    4.367e-001    2.947e-003
  134     134.000s    4.309e-001    4.338e-001    2.899e-003
  135     135.000s    4.282e-001    4.310e-001    2.850e-003
  136     136.000s    4.253e-001    4.283e-001    2.927e-003
  137     137.000s    4.226e-001    4.255e-001    2.959e-003
  138     138.000s    4.199e-001    4.228e-001    2.900e-003
  139     139.000s    4.172e-001    4.200e-001    2.870e-003
  140     140.000s    4.144e-001    4.173e-001    2.887e-003
  141     141.000s    4.118e-001    4.146e-001    2.879e-003
  142     142.000s    4.091e-001    4.120e-001    2.859e-003
  143     143.000s    4.065e-001    4.093e-001    2.828e-003
  144     144.000s    4.039e-001    4.067e-001    2.788e-003
  145     145.000s    4.013e-001    4.041e-001    2.712e-003
  146     146.000s    3.988e-001    4.015e-001    2.687e-003
  147     147.000s    3.962e-001    3.989e-001    2.684e-003
  148     148.000s    3.937e-001    3.963e-001    2.627e-003
  149     149.000s    3.911e-001    3.937e-001    2.637e-003
  150     150.000s    3.886e-001    3.912e-001    2.597e-003
  151     151.000s    3.861e-001    3.887e-001    2.554e-003
  152     152.000s    3.836e-001    3.862e-001    2.553e-003
  153     153.000s    3.812e-001    3.837e-001    2.528e-003
  154     154.000s    3.788e-001    3.812e-001    2.451e-003
  155     155.000s    3.764e-001    3.788e-001    2.348e-003
  156     156.000s    3.740e-001    3.763e-001    2.273e-003
  157     157.000s    3.717e-001    3.739e-001    2.158e-003
  158     158.000s    3.694e-001    3.715e-001    2.113e-003
  159     159.000s    3.670e-001    3.691e-001    2.104e-003
  160     160.000s    3.647e-001    3.667e-001    2.022e-003
  161     161.000s    3.624e-001    3.643e-001    1.966e-003
  162     162.000s    3.601e-001    3.620e-001    1.921e-003
  163     163.000s    3.578e-001    3.597e-001    1.832e-003
  164     164.000s    3.556e-001    3.573e-001    1.740e-003
  165     165.000s    3.534e-001    3.550e-001    1.654e-003
  166     166.000s    3.511e-001    3.527e-001    1.603e-003
  167     167.000s    3.489e-001    3.505e-001    1.593e-003
  168     168.000s    3.467e-001    3.482e-001    1.498e-003
  169     169.000s    3.446e-001    3.460e-001    1.392e-003
  170     170.000s    3.424e-001    3.437e-001    1.372e-003
  171     171.000s    3.403e-001    3.415e-001    1.267e-003
  172     172.000s    3.382e-001    3.393e-001    1.146e-003
  173     173.000s    3.361e-001    3.371e-001    1.078e-003
  174     174.000s    3.340e-001    3.350e-001    1.008e-003
  175     175.000s    3.319e-001    3.328e-001    8.801e-004
  176     176.000s    3.299e-001    3.307e-001    8.087e-004
  177     177.000s    3.278e-001    3.285e-001    7.508e-004
  178     178.000s    3.257e-001    3.264e-001    6.853e-004
  179     179.000s    3.237e-001    3.243e-001    5.709e-004
  180     180.000s    3.218e-001    3.222e-001    4.572e-004
  181     181.000s    3.198e-001    3.201e-001    3.561e-004
  182     182.000s    3.179e-001    3.181e-001    2.180e-004
  183     183.000s    3.159e-001    3.160e-001    1.284e-004
  184     184.000s    3.140e-001    3.140e-001    3.374e-005
  185     185.000s    3.121e-001    3.120e-001   -9.781e-005
  186     186.000s    3.102e-001    3.100e-001   -2.269e-004
  187     187.000s    3.083e-001    3.080e-001   -3.053e-004
  188     188.000s    3.063e-001    3.060e-001   -3.223e-004
  189     189.000s    3.043e-001    3.040e-001   -3.188e-004
  190     190.000s    3.025e-001    3.020e-001   -4.592e-004
  191     191.000s    3.007e-001    3.001e-001   -5.840e-004
  192     192.000s    2.988e-001    2.982e-001   -6.897e-004
  193     193.000s    2.971e-001    2.962e-001   -8.334e-004
  194     194.000s    2.953e-001    2.943e-001   -9.551e-004
  195     195.000s    2.935e-001    2.924e-001   -1.059e-003
  196     196.000s    2.917e-001    2.905e-001   -1.165e-003
  197     197.000s    2.899e-001    2.887e-001   -1.231e-003
  198     198.000s    2.882e-001    2.868e-001   -1.362e-003
  199     199.000s    2.865e-001    2.850e-001   -1.495e-003
  200     200.000s    2.847e-001    2.831e-001   -1.624e-003
  201     201.000s    2.831e-001    2.813e-001   -1.761e-003
  202     202.000s    2.814e-001    2.795e-001   -1.887e-003
  203     203.000s    2.796e-001    2.777e-001   -1.953e-003
  204     204.000s    2.779e-001    2.759e-001   -2.028e-003
  205     205.000s    2.763e-001    2.741e-001   -2.174e-003
  206     206.000s    2.746e-001    2.723e-001   -2.260e-003
  207     207.000s    2.730e-001    2.706e-001   -2.395e-003
  208     208.000s    2.714e-001    2.688e-001   -2.566e-003
  209     209.000s    2.698e-001    2.671e-001   -2.676e-003
  210     210.000s    2.682e-001    2.654e-001   -2.810e-003
  211     211.000s    2.666e-001    2.637e-001   -2.911e-003
  212     212.000s    2.649e-001    2.620e-001   -2.941e-003
  213     213.000s    2.634e-001    2.603e-001   -3.071e-003
  214     214.000s    2.619e-001    2.586e-001   -3.256e-003
  215     215.000s    2.603e-001    2.570e-001   -3.385e-003
  216     216.000s    2.587e-001    2.553e-001   -3.447e-003
  217     217.000s    2.572e-001    2.536e-001   -3.549e-003
  218     218.000s    2.558e-001    2.520e-001   -3.740e-003
  219     219.000s    2.542e-001    2.504e-001   -3.834e-003
  220     220.000s    2.527e-001    2.488e-001   -3.957e-003
  221     221.000s    2.512e-001    2.472e-001   -4.057e-003
  222     222.000s    2.498e-001    2.456e-001   -4.183e-003
  223     223.000s    2.483e-001    2.440e-001   -4.274e-003
  224     224.000s    2.469e-001    2.424e-001   -4.445e-003
  225     225.000s    2.455e-001    2.409e-001   -4.601e-003
  226     226.000s    2.441e-001    2.393e-001   -4.783e-003
  227     227.000s    2.426e-001    2.378e-001   -4.871e-003
  228     228.000s    2.412e-001    2.362e-001   -5.008e-003
  229     229.000s    2.399e-001    2.347e-001   -5.156e-003
  230     230.000s    2.384e-001    2.332e-001   -5.185e-003
  231     231.000s    2.370e-001    2.317e-001   -5.290e-003
  232     232.000s    2.356e-001    2.302e-001   -5.372e-003
  233     233.000s    2.342e-001    2.287e-001   -5.469e-003
  234     234.000s    2.328e-001    2.272e-001   -5.569e-003
  235     235.000s    2.315e-001    2.258e-001   -5.720e-003
  236     236.000s    2.302e-001    2.243e-001   -5.902e-003
  237     237.000s    2.290e-001    2.229e-001   -6.105e-003

============================================================

