offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-2.351758793969849194e+03,1.200000000000000000e+03,5.091603151355519330e+00,0.000000000000000000e+00,1.923326264281215714e+01,0.000000000000000000e+00,9.999424722638331486e-01
-2.327638190954774018e+03,1.200000000000000000e+03,5.156127437453323914e+00,0.000000000000000000e+00,1.925195734838474948e+01,0.000000000000000000e+00,9.999406423926693321e-01
-2.303517587939698387e+03,1.200000000000000000e+03,5.222238403353699709e+00,0.000000000000000000e+00,1.927104986717999680e+01,0.000000000000000000e+00,9.999383938135167904e-01
-2.279396984924623212e+03,1.200000000000000000e+03,5.289989436208342610e+00,0.000000000000000000e+00,1.929057722265799413e+01,0.000000000000000000e+00,9.999366506620951389e-01
-2.255276381909547581e+03,1.200000000000000000e+03,5.359424137716302106e+00,0.000000000000000000e+00,1.931052356144816073e+01,0.000000000000000000e+00,9.999346373770181540e-01
-2.231155778894472405e+03,1.200000000000000000e+03,5.430593698271770187e+00,0.000000000000000000e+00,1.933090169790323642e+01,0.000000000000000000e+00,9.999325302669221927e-01
-2.207035175879396775e+03,1.200000000000000000e+03,5.503549886831960336e+00,0.000000000000000000e+00,1.935171992275181196e+01,0.000000000000000000e+00,9.999303429920466391e-01
-2.182914572864321599e+03,1.200000000000000000e+03,5.578345911356086262e+00,0.000000000000000000e+00,1.937298591175373019e+01,0.000000000000000000e+00,9.999280768013989462e-01
-2.158793969849246423e+03,1.200000000000000000e+03,5.655036532342320399e+00,0.000000000000000000e+00,1.939470710175018908e+01,0.000000000000000000e+00,9.999257312561814492e-01
-2.134673366834170793e+03,1.200000000000000000e+03,5.733678095020732002e+00,0.000000000000000000e+00,1.941689069641004295e+01,0.000000000000000000e+00,9.999233061146324264e-01
-2.110552763819095617e+03,1.200000000000000000e+03,5.814328557732154401e+00,0.000000000000000000e+00,1.943954366144643231e+01,0.000000000000000000e+00,9.999208033880297997e-01
-2.086432160804019986e+03,1.200000000000000000e+03,5.897046164071983121e+00,0.000000000000000000e+00,1.946266727086326398e+01,0.000000000000000000e+00,9.999180950659251055e-01
-2.062311557788944810e+03,1.200000000000000000e+03,5.981893790586782167e+00,0.000000000000000000e+00,1.948627466506451356e+01,0.000000000000000000e+00,9.999152686322716477e-01
-2.038190954773869407e+03,1.200000000000000000e+03,6.068935448078033978e+00,0.000000000000000000e+00,1.951037613841986484e+01,0.000000000000000000e+00,9.999125799018114824e-01
-2.014070351758794004e+03,1.200000000000000000e+03,6.158233350141787632e+00,0.000000000000000000e+00,1.953496807301285898e+01,0.000000000000000000e+00,9.999097157333317609e-01
-1.989949748743718601e+03,1.200000000000000000e+03,6.249854141917906780e+00,0.000000000000000000e+00,1.956005741594785974e+01,0.000000000000000000e+00,9.999067379384842802e-01
-1.965829145728643198e+03,1.200000000000000000e+03,6.343865642361949497e+00,0.000000000000000000e+00,1.958564871348789183e+01,0.000000000000000000e+00,9.999036537627956633e-01
-1.941708542713567795e+03,1.200000000000000000e+03,6.440337218427922394e+00,0.000000000000000000e+00,1.961174561931377269e+01,0.000000000000000000e+00,9.999004640047425285e-01
-1.917587939698492391e+03,1.200000000000000000e+03,6.539339802068822038e+00,0.000000000000000000e+00,1.963835100260435951e+01,0.000000000000000000e+00,9.998971686787192503e-01
