o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1431,-3.9,9.75,3.2,9.87,28.91,-475,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,475,290.6492,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1432,-3.9,9.75,3.2,9.87,28.91,-525,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,525,290.6466,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1433,-3.9,9.75,3.2,9.87,28.91,-575,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,575,290.6518,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1434,-3.9,9.75,3.2,9.87,28.91,25,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-25,290.6504,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1435,-3.9,9.75,3.2,9.87,28.91,125,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-125,290.6471,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1436,-3.9,9.75,3.2,9.87,28.91,225,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-225,290.6501,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,100,1437,-3.9,9.75,3.2,9.87,28.91,375,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,-375,290.65,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1438,-3.9,9.75,3.2,9.87,25.36,-75,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,75,290.6491,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1439,-3.9,9.75,3.2,9.87,25.36,-125,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,125,290.6485,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1440,-3.9,9.75,3.2,9.87,25.36,-175,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,175,290.6487,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1441,-3.9,9.75,3.2,9.87,25.36,-225,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,225,290.6509,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1442,-3.9,9.75,3.2,9.87,25.36,-275,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,275,290.6486,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1443,-3.9,9.75,3.2,9.87,25.36,-295,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,295,290.6505,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1444,-3.9,9.75,3.2,9.87,25.36,-315,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,315,290.6493,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1445,-3.9,9.75,3.2,9.87,25.36,-335,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,335,290.6495,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1446,-3.9,9.75,3.2,9.87,25.36,-355,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,355,290.6493,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1447,-3.9,9.75,3.2,9.87,25.36,-375,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,375,290.6509,8.0166
