offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
3.216582914572864411e+03,1.000000000000000000e+02,-2.118694987513845263e+01,-2.118694987513845263e+01,-2.196148946807809352e+03,-2.196148946807809352e+03,-2.511137599996821734e+00,-2.179460957034110834e+03,-2.019790455028032738e+01,-2.019790455028032738e+01,-2.511088899441756173e+00
3.179396984924623212e+03,1.000000000000000000e+02,-2.118673944025567835e+01,-2.118673944025567835e+01,-2.196148628324474430e+03,-2.196148628324474430e+03,-2.511542055606103663e+00,-2.179461610414922234e+03,-2.019770354558158942e+01,-2.019770354558158942e+01,-2.511490908836213176e+00
3.142211055276382012e+03,1.000000000000000000e+02,-2.118652147822604093e+01,-2.118652147822604093e+01,-2.196148296378512441e+03,-2.196148296378512441e+03,-2.511961005583919881e+00,-2.179462291280936824e+03,-2.019749537211419010e+01,-2.019749537211419010e+01,-2.511907255771800962e+00
3.105025125628140813e+03,1.000000000000000000e+02,-2.118629562586238535e+01,-2.118629562586238535e+01,-2.196147950200879677e+03,-2.196147950200879677e+03,-2.512395151937748761e+00,-2.179463001194583285e+03,-2.019727968500274073e+01,-2.019727968500274073e+01,-2.512338629993196015e+00
3.067839195979899614e+03,1.000000000000000000e+02,-2.118606149780316628e+01,-2.118606149780316628e+01,-2.196147588966889543e+03,-2.196147588966889543e+03,-2.512845239780083340e+00,-2.179463741830843901e+03,-2.019705611839435733e+01,-2.019705611839435733e+01,-2.512785763211849765e+00
3.030653266331658415e+03,1.000000000000000000e+02,-2.118581868489673070e+01,-2.118581868489673070e+01,-2.196147211791269001e+03,-2.196147211791269001e+03,-2.513312060542970627e+00,-2.179464514987115308e+03,-2.019682428389478446e+01,-2.019682428389478446e+01,-2.513249432206628331e+00
2.993467336683417216e+03,1.000000000000000000e+02,-2.118556675240506593e+01,-2.118556675240506593e+01,-2.196146817722791184e+03,-2.196146817722791184e+03,-2.513796455494962334e+00,-2.179465322594101053e+03,-2.019658376890311047e+01,-2.019658376890311047e+01,-2.513730462194991411e+00
2.956281407035176017e+03,1.000000000000000000e+02,-2.118530523802974130e+01,-2.118530523802974130e+01,-2.196146405738267276e+03,-2.196146405738267276e+03,-2.514299319553127798e+00,-2.179466166727846939e+03,-2.019633413475139605e+01,-2.019633413475139605e+01,-2.514229730501942317e+00
2.919095477386934363e+03,1.000000000000000000e+02,-2.118503364984553627e+01,-2.118503364984553627e+01,-2.196145974735898562e+03,-2.196145974735898562e+03,-2.514821605462793652e+00,-2.179467049623057846e+03,-2.019607491472197580e+01,-2.019607491472197580e+01,-2.514748170557231433e+00
2.881909547738693163e+03,1.000000000000000000e+02,-2.118475146393711839e+01,-2.118475146393711839e+01,-2.196145523527958176e+03,-2.196145523527958176e+03,-2.515364328345559120e+00,-2.179467973687877475e+03,-2.019580561187376588e+01,-2.019580561187376588e+01,-2.515286776254744172e+00
2.844723618090451964e+03,1.000000000000000000e+02,-2.118445812190839206e+01,-2.118445812190839206e+01,-2.196145050832613833e+03,-2.196145050832613833e+03,-2.515928570680466159e+00,-2.179468941520272438e+03,-2.019552569664392649e+01,-2.019552569664392649e+01,-2.515846606712103473e+00
2.807537688442210765e+03,1.000000000000000000e+02,-2.118415302811263246e+01,-2.118415302811263246e+01,-2.196144555264880637e+03,-2.196144555264880637e+03,-2.516515487754347191e+00,-2.179469955926262628e+03,-2.019523460426444217e+01,-2.019523460426444217e+01,-2.516428791472982152e+00
2.770351758793969566e+03,1.000000000000000000e+02,-2.118383554663296309e+01,-2.118383554663296309e+01,-2.196144035326431549e+03,-2.196144035326431549e+03,-2.517126313634167278e+00,-2.179471019940234328e+03,-2.019493173189948720e+01,-2.019493173189948720e+01,-2.517034536199821648e+00
2.733165829145729276e+03,1.000000000000000000e+02,-2.118350499797179509e+01,-2.118350499797179509e+01,-2.196143489394366952e+03,-2.196143489394366952e+03,-2.517762367728668682e+00,-2.179472136847595266e+03,-2.019461643554586772e+01,-2.019461643554586772e+01,-2.517665128910465899e+00
