o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,1200,1410,-3.42,9.78,3.2,11.57,5.56,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1493,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,1400,1411,-3.42,9.78,3.2,11.57,4.21,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1531,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,1600,1412,-3.42,9.78,3.2,11.57,3.05,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1512,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,2000,1413,-3.42,9.78,3.2,11.57,1.1,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.1493,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,2500,1414,-3.42,9.78,3.2,11.57,-0.85,0,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,0,298.149,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1415,-3.42,9.78,3.2,11.57,21.21,-50,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,50,298.1492,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1416,-3.42,9.78,3.2,11.57,21.21,-100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,100,298.1501,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1417,-3.42,9.78,3.2,11.57,21.21,-150,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,150,298.148,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1418,-3.42,9.78,3.2,11.57,21.21,-200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,200,298.1505,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1419,-3.42,9.78,3.2,11.57,21.21,-200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,200,298.1504,5.6312
