SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2CAC_m1A_10C/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

228 points for Peak 1

Converged after 231 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -2.933e-002    1.031e+000  
T     =      10.908s      150.334s  

RSS   =   1.392e-003
SD    =   2.471e-003

Point       Tau          Expt          Calc       Difference
   29      29.000s    8.492e-001    8.482e-001   -1.021e-003
   30      30.000s    8.438e-001    8.427e-001   -1.131e-003
   31      31.000s    8.385e-001    8.373e-001   -1.240e-003
   32      32.000s    8.332e-001    8.319e-001   -1.357e-003
   33      33.000s    8.280e-001    8.265e-001   -1.492e-003
   34      34.000s    8.228e-001    8.211e-001   -1.659e-003
   35      35.000s    8.176e-001    8.158e-001   -1.805e-003
   36      36.000s    8.124e-001    8.105e-001   -1.927e-003
   37      37.000s    8.072e-001    8.052e-001   -2.070e-003
   38      38.000s    8.021e-001    7.999e-001   -2.152e-003
   39      39.000s    7.968e-001    7.947e-001   -2.168e-003
   40      40.000s    7.917e-001    7.895e-001   -2.202e-003
   41      41.000s    7.866e-001    7.843e-001   -2.281e-003
   42      42.000s    7.815e-001    7.792e-001   -2.329e-003
   43      43.000s    7.764e-001    7.740e-001   -2.346e-003
   44      44.000s    7.713e-001    7.690e-001   -2.345e-003
   45      45.000s    7.663e-001    7.639e-001   -2.383e-003
   46      46.000s    7.613e-001    7.589e-001   -2.396e-003
   47      47.000s    7.563e-001    7.539e-001   -2.439e-003
   48      48.000s    7.514e-001    7.489e-001   -2.461e-003
   49      49.000s    7.464e-001    7.440e-001   -2.407e-003
   50      50.000s    7.414e-001    7.391e-001   -2.351e-003
   51      51.000s    7.366e-001    7.342e-001   -2.368e-003
   52      52.000s    7.316e-001    7.293e-001   -2.296e-003
   53      53.000s    7.268e-001    7.245e-001   -2.242e-003
   54      54.000s    7.220e-001    7.197e-001   -2.242e-003
   55      55.000s    7.172e-001    7.150e-001   -2.166e-003
   56      56.000s    7.124e-001    7.103e-001   -2.098e-003
   57      57.000s    7.076e-001    7.056e-001   -2.057e-003
   58      58.000s    7.029e-001    7.009e-001   -1.958e-003
   59      59.000s    6.981e-001    6.963e-001   -1.818e-003
   60      60.000s    6.934e-001    6.917e-001   -1.742e-003
   61      61.000s    6.888e-001    6.871e-001   -1.670e-003
   62      62.000s    6.841e-001    6.825e-001   -1.561e-003
   63      63.000s    6.795e-001    6.780e-001   -1.488e-003
   64      64.000s    6.750e-001    6.735e-001   -1.436e-003
   65      65.000s    6.705e-001    6.691e-001   -1.378e-003
   66      66.000s    6.659e-001    6.647e-001   -1.236e-003
   67      67.000s    6.613e-001    6.603e-001   -1.093e-003
   68      68.000s    6.569e-001    6.559e-001   -9.909e-004
   69      69.000s    6.525e-001    6.515e-001   -9.527e-004
   70      70.000s    6.481e-001    6.472e-001   -8.463e-004
   71      71.000s    6.437e-001    6.429e-001   -7.422e-004
   72      72.000s    6.394e-001    6.387e-001   -6.866e-004
   73      73.000s    6.350e-001    6.344e-001   -5.529e-004
   74      74.000s    6.307e-001    6.302e-001   -4.520e-004
   75      75.000s    6.264e-001    6.261e-001   -3.465e-004
   76      76.000s    6.221e-001    6.219e-001   -2.073e-004
   77      77.000s    6.179e-001    6.178e-001   -1.169e-004
   78      78.000s    6.137e-001    6.137e-001   -2.631e-005
   79      79.000s    6.095e-001    6.096e-001    9.955e-005
   80      80.000s    6.054e-001    6.056e-001    1.776e-004
   81      81.000s    6.013e-001    6.016e-001    2.954e-004
   82      82.000s    5.972e-001    5.976e-001    4.034e-004
   83      83.000s    5.931e-001    5.936e-001    4.865e-004
   84      84.000s    5.891e-001    5.897e-001    5.961e-004
   85      85.000s    5.851e-001    5.858e-001    6.885e-004
   86      86.000s    5.811e-001    5.819e-001    8.099e-004
   87      87.000s    5.771e-001    5.781e-001    9.051e-004
   88      88.000s    5.732e-001    5.742e-001    1.023e-003
   89      89.000s    5.693e-001    5.704e-001    1.125e-003
   90      90.000s    5.654e-001    5.666e-001    1.208e-003
   91      91.000s    5.616e-001    5.629e-001    1.282e-003
   92      92.000s    5.578e-001    5.591e-001    1.354e-003
   93      93.000s    5.539e-001    5.554e-001    1.503e-003
   94      94.000s    5.502e-001    5.518e-001    1.580e-003
   95      95.000s    5.464e-001    5.481e-001    1.660e-003
   96      96.000s    5.427e-001    5.445e-001    1.789e-003
   97      97.000s    5.390e-001    5.409e-001    1.875e-003
   98      98.000s    5.353e-001    5.373e-001    1.938e-003
   99      99.000s    5.317e-001    5.337e-001    2.056e-003
  100     100.000s    5.280e-001    5.302e-001    2.181e-003
  101     101.000s    5.244e-001    5.267e-001    2.286e-003
  102     102.000s    5.208e-001    5.232e-001    2.405e-003
  103     103.000s    5.172e-001    5.197e-001    2.483e-003
  104     104.000s    5.137e-001    5.163e-001    2.514e-003
  105     105.000s    5.103e-001    5.128e-001    2.502e-003
  106     106.000s    5.069e-001    5.094e-001    2.541e-003
  107     107.000s    5.035e-001    5.061e-001    2.563e-003
  108     108.000s    5.000e-001    5.027e-001    2.647e-003
  109     109.000s    4.966e-001    4.994e-001    2.718e-003
  110     110.000s    4.934e-001    4.961e-001    2.683e-003
  111     111.000s    4.900e-001    4.928e-001    2.729e-003
  112     112.000s    4.866e-001    4.895e-001    2.860e-003
  113     113.000s    4.833e-001    4.863e-001    2.934e-003
  114     114.000s    4.801e-001    4.830e-001    2.917e-003
  115     115.000s    4.769e-001    4.798e-001    2.955e-003
  116     116.000s    4.736e-001    4.766e-001    3.005e-003
  117     117.000s    4.705e-001    4.735e-001    3.020e-003
  118     118.000s    4.674e-001    4.703e-001    2.994e-003
  119     119.000s    4.642e-001    4.672e-001    3.014e-003
  120     120.000s    4.611e-001    4.641e-001    3.045e-003
  121     121.000s    4.580e-001    4.611e-001    3.037e-003
  122     122.000s    4.550e-001    4.580e-001    3.018e-003
  123     123.000s    4.519e-001    4.550e-001    3.086e-003
  124     124.000s    4.488e-001    4.519e-001    3.124e-003
  125     125.000s    4.459e-001    4.489e-001    3.092e-003
  126     126.000s    4.429e-001    4.460e-001    3.076e-003
  127     127.000s    4.399e-001    4.430e-001    3.092e-003
  128     128.000s    4.369e-001    4.401e-001    3.134e-003
  129     129.000s    4.341e-001    4.372e-001    3.080e-003
  130     130.000s    4.312e-001    4.343e-001    3.027e-003
  131     131.000s    4.283e-001    4.314e-001    3.058e-003
  132     132.000s    4.255e-001    4.285e-001    3.049e-003
  133     133.000s    4.226e-001    4.257e-001    3.046e-003
  134     134.000s    4.198e-001    4.229e-001    3.108e-003
  135     135.000s    4.170e-001    4.201e-001    3.077e-003
  136     136.000s    4.142e-001    4.173e-001    3.103e-003
  137     137.000s    4.114e-001    4.145e-001    3.103e-003
  138     138.000s    4.087e-001    4.118e-001    3.033e-003
  139     139.000s    4.060e-001    4.090e-001    3.043e-003
  140     140.000s    4.033e-001    4.063e-001    2.993e-003
  141     141.000s    4.007e-001    4.036e-001    2.900e-003
  142     142.000s    3.981e-001    4.009e-001    2.830e-003
  143     143.000s    3.954e-001    3.983e-001    2.845e-003
  144     144.000s    3.928e-001    3.956e-001    2.851e-003
  145     145.000s    3.902e-001    3.930e-001    2.803e-003
  146     146.000s    3.877e-001    3.904e-001    2.740e-003
  147     147.000s    3.852e-001    3.878e-001    2.604e-003
  148     148.000s    3.827e-001    3.853e-001    2.533e-003
  149     149.000s    3.802e-001    3.827e-001    2.476e-003
  150     150.000s    3.777e-001    3.802e-001    2.454e-003
  151     151.000s    3.752e-001    3.776e-001    2.417e-003
  152     152.000s    3.728e-001    3.751e-001    2.299e-003
  153     153.000s    3.704e-001    3.727e-001    2.259e-003
  154     154.000s    3.680e-001    3.702e-001    2.199e-003
  155     155.000s    3.656e-001    3.677e-001    2.088e-003
  156     156.000s    3.633e-001    3.653e-001    2.013e-003
  157     157.000s    3.609e-001    3.629e-001    1.990e-003
  158     158.000s    3.586e-001    3.605e-001    1.910e-003
  159     159.000s    3.563e-001    3.581e-001    1.806e-003
  160     160.000s    3.540e-001    3.557e-001    1.672e-003
  161     161.000s    3.518e-001    3.533e-001    1.579e-003
  162     162.000s    3.495e-001    3.510e-001    1.531e-003
  163     163.000s    3.473e-001    3.487e-001    1.411e-003
  164     164.000s    3.451e-001    3.464e-001    1.298e-003
  165     165.000s    3.428e-001    3.441e-001    1.280e-003
  166     166.000s    3.405e-001    3.418e-001    1.243e-003
  167     167.000s    3.384e-001    3.395e-001    1.122e-003
  168     168.000s    3.363e-001    3.373e-001    9.834e-004
  169     169.000s    3.341e-001    3.350e-001    9.383e-004
  170     170.000s    3.320e-001    3.328e-001    8.487e-004
  171     171.000s    3.299e-001    3.306e-001    7.138e-004
  172     172.000s    3.278e-001    3.284e-001    6.311e-004
  173     173.000s    3.257e-001    3.262e-001    5.152e-004
  174     174.000s    3.236e-001    3.241e-001    4.261e-004
  175     175.000s    3.216e-001    3.219e-001    2.974e-004
  176     176.000s    3.196e-001    3.198e-001    1.800e-004
  177     177.000s    3.176e-001    3.177e-001    4.795e-005
  178     178.000s    3.156e-001    3.156e-001   -3.861e-005
  179     179.000s    3.136e-001    3.135e-001   -1.756e-004
  180     180.000s    3.117e-001    3.114e-001   -3.247e-004
  181     181.000s    3.098e-001    3.093e-001   -4.242e-004
  182     182.000s    3.078e-001    3.073e-001   -4.934e-004
  183     183.000s    3.058e-001    3.052e-001   -5.588e-004
  184     184.000s    3.039e-001    3.032e-001   -6.640e-004
  185     185.000s    3.020e-001    3.012e-001   -7.444e-004
  186     186.000s    3.001e-001    2.992e-001   -8.723e-004
  187     187.000s    2.982e-001    2.972e-001   -1.014e-003
  188     188.000s    2.964e-001    2.953e-001   -1.185e-003
  189     189.000s    2.946e-001    2.933e-001   -1.332e-003
  190     190.000s    2.928e-001    2.914e-001   -1.406e-003
  191     191.000s    2.909e-001    2.894e-001   -1.468e-003
  192     192.000s    2.891e-001    2.875e-001   -1.627e-003
  193     193.000s    2.873e-001    2.856e-001   -1.727e-003
  194     194.000s    2.856e-001    2.837e-001   -1.900e-003
  195     195.000s    2.838e-001    2.818e-001   -1.997e-003
  196     196.000s    2.821e-001    2.800e-001   -2.155e-003
  197     197.000s    2.804e-001    2.781e-001   -2.271e-003
  198     198.000s    2.786e-001    2.763e-001   -2.365e-003
  199     199.000s    2.770e-001    2.744e-001   -2.553e-003
  200     200.000s    2.753e-001    2.726e-001   -2.676e-003
  201     201.000s    2.736e-001    2.708e-001   -2.786e-003
  202     202.000s    2.720e-001    2.690e-001   -2.976e-003
  203     203.000s    2.704e-001    2.672e-001   -3.160e-003
  204     204.000s    2.687e-001    2.654e-001   -3.250e-003
  205     205.000s    2.671e-001    2.637e-001   -3.384e-003
  206     206.000s    2.655e-001    2.619e-001   -3.541e-003
  207     207.000s    2.639e-001    2.602e-001   -3.684e-003
  208     208.000s    2.622e-001    2.585e-001   -3.753e-003
  209     209.000s    2.606e-001    2.568e-001   -3.846e-003
  210     210.000s    2.591e-001    2.551e-001   -4.012e-003
  211     211.000s    2.576e-001    2.534e-001   -4.181e-003
  212     212.000s    2.560e-001    2.517e-001   -4.342e-003
  213     213.000s    2.545e-001    2.500e-001   -4.456e-003
  214     214.000s    2.530e-001    2.484e-001   -4.631e-003
  215     215.000s    2.515e-001    2.467e-001   -4.751e-003
  216     216.000s    2.499e-001    2.451e-001   -4.844e-003
  217     217.000s    2.485e-001    2.435e-001   -5.006e-003
  218     218.000s    2.470e-001    2.418e-001   -5.139e-003
  219     219.000s    2.455e-001    2.402e-001   -5.251e-003
  220     220.000s    2.440e-001    2.386e-001   -5.392e-003
  221     221.000s    2.426e-001    2.371e-001   -5.512e-003
  222     222.000s    2.411e-001    2.355e-001   -5.624e-003
  223     223.000s    2.397e-001    2.339e-001   -5.763e-003
  224     224.000s    2.383e-001    2.324e-001   -5.916e-003
  225     225.000s    2.369e-001    2.308e-001   -6.033e-003
  226     226.000s    2.355e-001    2.293e-001   -6.182e-003
  227     227.000s    2.342e-001    2.278e-001   -6.366e-003
  228     228.000s    2.328e-001    2.263e-001   -6.546e-003

============================================================

