offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
9.768844221105528050e+02,2.000000000000000000e+02,-2.421688068102093894e+01,-2.421688068102093894e+01,-6.935350177202124087e+02,-6.935350177202124087e+02,-3.829212263788094983e+00,-6.860081499337454716e+02,-1.939411540683248347e+01,-1.939411540683248347e+01,-3.519743186334119311e+00
9.467336683417083805e+02,2.000000000000000000e+02,-2.419484244925843086e+01,-2.419484244925843086e+01,-6.933285062787672359e+02,-6.933285062787672359e+02,-3.929282549068107144e+00,-6.863651789948788746e+02,-1.937306634845094777e+01,-1.937306634845094777e+01,-3.561841303098820077e+00
9.165829145728644107e+02,2.000000000000000000e+02,-2.417069355852012080e+01,-2.417069355852012080e+01,-6.930844452293167706e+02,-6.930844452293167706e+02,-6.867840527734356328e+02,-1.935003204923668818e+01,-1.935003204923668818e+01,-4.046828650891170831e+00,-3.607909901526181962e+00
8.864321608040199862e+02,2.000000000000000000e+02,-2.414415899175612878e+01,-2.414415899175612878e+01,-6.927949104340231088e+02,-6.927949104340231088e+02,-6.872771178594931598e+02,-1.932475946368981568e+01,-1.932475946368981568e+01,-4.185902288948005534e+00,-3.658455072618174597e+00
8.562814070351760165e+02,2.000000000000000000e+02,-2.411491791627895509e+01,-2.411491791627895509e+01,-6.924506275127591834e+02,-6.924506275127591834e+02,-4.351522380047165406e+00,-6.878585457618729606e+02,-1.929695477193035913e+01,-1.929695477193035913e+01,-3.714064456140127923e+00
8.261306532663314783e+02,2.000000000000000000e+02,-2.408259426725069829e+01,-2.408259426725069829e+01,-6.920412786684059938e+02,-6.920412786684059938e+02,-6.885436352911493714e+02,-4.549777837538950820e+00,-1.926627543373751905e+01,-1.926627543373751905e+01,-3.775423132522754521e+00
7.959798994974870538e+02,2.000000000000000000e+02,-2.404674498485564982e+01,-2.404674498485564982e+01,-6.915564909487843579e+02,-6.915564909487843579e+02,-4.787781515453636061e+00,-6.893469056172674527e+02,-1.923232043183111273e+01,-1.923232043183111273e+01,-3.843333136339971201e+00
7.658291457286431978e+02,2.000000000000000000e+02,-2.400684519649621507e+01,-2.400684519649621507e+01,-6.909881189501638801e+02,-6.909881189501638801e+02,-5.073292310922013826e+00,-6.902779383957599748e+02,-1.919461823583105797e+01,-1.919461823583105797e+01,-3.918737528338303022e+00
7.356783919597987733e+02,2.000000000000000000e+02,-2.396226937079336494e+01,-2.396226937079336494e+01,-6.903347140140433567e+02,-6.903347140140433567e+02,-5.413717264656561667e+00,-6.913334749656725080e+02,-1.915261188517752089e+01,-1.915261188517752089e+01,-4.002750229644199464e+00
7.055276381909548036e+02,2.000000000000000000e+02,-2.391226707980445099e+01,-2.391226707980445099e+01,-6.896090718020675467e+02,-6.896090718020675467e+02,-5.814144571843787190e+00,-6.924843366644117850e+02,-1.910564041585121231e+01,-1.910564041585121231e+01,-4.096693168297451670e+00
6.753768844221103791e+02,2.000000000000000000e+02,-2.385593141090964764e+01,-2.385593141090964764e+01,-6.888486484324804451e+02,-6.888486484324804451e+02,-6.936577731375573421e+02,-6.274226175662517058e+00,-1.905291563113905795e+01,-1.905291563113905795e+01,-4.202142737721625387e+00
6.452261306532664094e+02,2.000000000000000000e+02,-2.379215712838026775e+01,-2.379215712838026775e+01,-6.881251234878873220e+02,-6.881251234878873220e+02,-6.784430602455827852e+00,-6.947221671650111148e+02,-1.899349292658656196e+01,-1.899349292658656196e+01,-4.320988146827549059e+00
6.150753768844219849e+02,2.000000000000000000e+02,-2.371958412780877268e+01,-2.371958412780877268e+01,-6.875434355245151892e+02,-6.875434355245151892e+02,-7.323550913984309574e+00,-6.954915687813650038e+02,-1.892623450854750899e+01,-1.892623450854750899e+01,-4.455504982905678091e+00
5.849246231155780151e+02,2.000000000000000000e+02,-2.363651901842388270e+01,-2.363651901842388270e+01,-6.872180213277573557e+02,-6.872180213277573557e+02,-6.957715229950370031e+02,-7.860555312602237166e+00,-1.884976288004463640e+01,-1.884976288004463640e+01,-4.608448239910621247e+00
5.547738693467335906e+02,2.000000000000000000e+02,-2.354082268945967371e+01,-2.354082268945967371e+01,-8.362786881814185946e+00,-6.872267539224010306e+02,-6.872267539224010306e+02,-6.954432188944635982e+02,-1.876240190028039478e+01,-1.876240190028039478e+01,-4.783170199439483739e+00
5.246231155778891662e+02,2.000000000000000000e+02,-2.342974201810068280e+01,-2.342974201810068280e+01,-6.875701274486982584e+02,-6.875701274486982584e+02,-6.945334163871667670e+02,-8.808003679235357097e+00,-1.866210207110577812e+01,-1.866210207110577812e+01,-4.983769857789051017e+00
