,norm_intensity,norm_intensity_error,norm_intensity_nocomplex,norm_intensity_nocomplex_error,offset(hz),slp(hz),trelax(s)
32,0.5127483792359293,0.0,0.5127547505970088,0.0,-742.9718875502008,9.999019,0.2
33,0.5127465474541414,0.0,0.5127465483302528,0.0,-734.9397590361446,9.999019,0.2
34,0.5127313144908333,0.0,0.5127380716526839,0.0,-726.9076305220884,9.999019,0.2
35,0.5127264426261215,0.0,0.5127293081915911,0.0,-718.8755020080321,9.999019,0.2
36,0.5127178851410655,0.0,0.512720244869455,0.0,-710.8433734939758,9.999019,0.2
37,0.5127033063021977,0.0,0.5127108678552287,0.0,-702.8112449799197,9.999019,0.2
38,0.5127010992851411,0.0,0.5127011625116796,0.0,-694.7791164658635,9.999019,0.2
39,0.5126841043024757,0.0,0.5126911133383721,0.0,-686.7469879518073,9.999019,0.2
40,0.512676651909959,0.0,0.5126807039099062,0.0,-678.714859437751,9.999019,0.2
41,0.5126680236593604,0.0,0.5126699168089167,0.0,-670.6827309236947,9.999019,0.2
42,0.5126498867586048,0.0,0.51265873355339,0.0,-662.6506024096386,9.999019,0.2
43,0.5126468171897058,0.0,0.5126471345176316,0.0,-654.6184738955824,9.999019,0.2
44,0.512627945519971,0.0,0.512635098846384,0.0,-646.5863453815261,9.999019,0.2
45,0.512617072372167,0.0,0.5126226043612703,0.0,-638.5542168674699,9.999019,0.2
46,0.5126082302758133,0.0,0.5126096274588609,0.0,-630.5220883534137,9.999019,0.2
47,0.5125859211233116,0.0,0.512596142999461,0.0,-622.4899598393574,9.999019,0.2
48,0.5125812976942414,0.0,0.5125821241856571,0.0,-614.4578313253012,9.999019,0.2
49,0.512560368524046,0.0,0.5125675424294903,0.0,-606.425702811245,9.999019,0.2
50,0.5125450139212523,0.0,0.5125523672071095,0.0,-598.3935742971887,9.999019,0.2
51,0.5125356618327634,0.0,0.5125365658994199,0.0,-590.3614457831325,9.999019,0.2
52,0.5125084214174224,0.0,0.5125201036172854,0.0,-582.3293172690762,9.999019,0.2
53,0.5125012721186969,0.0,0.5125029430094548,0.0,-574.29718875502,9.999019,0.2
54,0.5124779881433862,0.0,0.5124850440513016,0.0,-566.2650602409639,9.999019,0.2
55,0.5124567877254927,0.0,0.5124663638121155,0.0,-558.2329317269076,9.999019,0.2
56,0.512446396828495,0.0,0.5124468561984235,0.0,-550.2008032128514,9.999019,0.2
57,0.5124132465564749,0.0,0.5124264716705159,0.0,-542.1686746987951,9.999019,0.2
58,0.5124022022001927,0.0,0.5124051569289253,0.0,-534.1365461847389,9.999019,0.2
59,0.512376068160134,0.0,0.5123828545670769,0.0,-526.1044176706828,9.999019,0.2
60,0.5123472230396684,0.0,0.5123595026860613,0.0,-518.0722891566265,9.999019,0.2
61,0.5123349069959259,0.0,0.512335034466543,0.0,-510.0401606425703,9.999019,0.2
62,0.5122945257307938,0.0,0.5123093776923858,0.0,-502.00803212851406,9.999019,0.2
63,0.5122776364549079,0.0,0.5122824542196734,0.0,-493.9759036144578,9.999019,0.2
64,0.512247824027205,0.0,0.5122541793838142,0.0,-485.9437751004016,9.999019,0.2
65,0.5122088883018847,0.0,0.5122244613363321,0.0,-477.9116465863453,9.999019,0.2
66,0.5121931998725262,0.0,0.5121932003017843,0.0,-469.8795180722891,9.999019,0.2
67,0.5121437163881628,0.0,0.5121602877434596,0.0,-461.84738955823286,9.999019,0.2
68,0.5121181510162025,0.0,0.5121256054249804,0.0,-453.8152610441766,9.999019,0.2
69,0.5120832673241466,0.0,0.5120890243526273,0.0,-445.7831325301205,9.999019,0.2
70,0.512030790403686,0.0,0.5120504035808274,0.0,-437.7510040160643,9.999019,0.2
71,0.512009375942059,0.0,0.5120095888601495,0.0,-429.718875502008,9.999019,0.2
72,0.5119480064281167,0.0,0.5119664111037059,0.0,-421.6867469879518,9.999019,0.2
73,0.5119095381552897,0.0,0.5119206846435346,0.0,-413.6546184738955,9.999019,0.2
74,0.5118672128669404,0.0,0.5118722052435006,0.0,-405.6224899598393,9.999019,0.2
75,0.5117961114601338,0.0,0.5118207478291026,0.0,-397.59036144578306,9.999019,0.2
76,0.511765095518163,0.0,0.5117660638872189,0.0,-389.55823293172693,9.999019,0.2
77,0.5116874826220665,0.0,0.5117078784798297,0.0,-381.5261044176707,9.999019,0.2
78,0.5116295648489773,0.0,0.5116458868049212,0.0,-373.4939759036144,9.999019,0.2
79,0.5115756770454821,0.0,0.5115797502244493,0.0,-365.4618473895582,9.999019,0.2
80,0.5114780755179233,0.0,0.5115090916630213,0.0,-357.429718875502,9.999019,0.2
81,0.5114309033444856,0.0,0.5114334902608414,0.0,-349.39759036144574,9.999019,0.2
82,0.5113298450892229,0.0,0.5113524751397656,0.0,-341.3654618473895,9.999019,0.2
83,0.5112418523524952,0.0,0.5112655181105422,0.0,-333.33333333333326,9.999019,0.2
84,0.5111689954699802,0.0,0.5111720251109186,0.0,-325.301204819277,9.999019,0.2
85,0.5110319497203514,0.0,0.511071326116222,0.0,-317.2690763052209,9.999019,0.2
86,0.5109570650591945,0.0,0.5109626632033607,0.0,-309.23694779116465,9.999019,0.2
87,0.5108199041974918,0.0,0.5108451763723466,0.0,-301.2048192771084,9.999019,0.2
88,0.5106835434148814,0.0,0.510717886631509,0.0,-293.1726907630522,9.999019,0.2
