SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2CAC_m1A_10C/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

228 points for Peak 1

Converged after 103 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.316e-002    1.031e+000  
T     =       8.183s      149.490s  

RSS   =   1.409e-003
SD    =   2.486e-003

Point       Tau          Expt          Calc       Difference
   35      35.000s    8.173e-001    8.153e-001   -1.983e-003
   36      36.000s    8.121e-001    8.100e-001   -2.117e-003
   37      37.000s    8.068e-001    8.046e-001   -2.251e-003
   38      38.000s    8.017e-001    7.993e-001   -2.387e-003
   39      39.000s    7.965e-001    7.940e-001   -2.493e-003
   40      40.000s    7.913e-001    7.887e-001   -2.588e-003
   41      41.000s    7.862e-001    7.835e-001   -2.695e-003
   42      42.000s    7.811e-001    7.783e-001   -2.805e-003
   43      43.000s    7.760e-001    7.731e-001   -2.852e-003
   44      44.000s    7.709e-001    7.680e-001   -2.893e-003
   45      45.000s    7.658e-001    7.629e-001   -2.961e-003
   46      46.000s    7.608e-001    7.578e-001   -3.011e-003
   47      47.000s    7.558e-001    7.528e-001   -3.026e-003
   48      48.000s    7.508e-001    7.478e-001   -3.083e-003
   49      49.000s    7.458e-001    7.428e-001   -3.040e-003
   50      50.000s    7.409e-001    7.378e-001   -3.018e-003
   51      51.000s    7.360e-001    7.329e-001   -3.041e-003
   52      52.000s    7.311e-001    7.280e-001   -3.024e-003
   53      53.000s    7.262e-001    7.232e-001   -2.954e-003
   54      54.000s    7.213e-001    7.184e-001   -2.956e-003
   55      55.000s    7.165e-001    7.136e-001   -2.894e-003
   56      56.000s    7.117e-001    7.088e-001   -2.805e-003
   57      57.000s    7.069e-001    7.041e-001   -2.806e-003
   58      58.000s    7.022e-001    6.994e-001   -2.769e-003
   59      59.000s    6.974e-001    6.948e-001   -2.612e-003
   60      60.000s    6.926e-001    6.901e-001   -2.488e-003
   61      61.000s    6.879e-001    6.855e-001   -2.398e-003
   62      62.000s    6.833e-001    6.810e-001   -2.338e-003
   63      63.000s    6.787e-001    6.764e-001   -2.262e-003
   64      64.000s    6.741e-001    6.719e-001   -2.123e-003
   65      65.000s    6.695e-001    6.675e-001   -2.011e-003
   66      66.000s    6.649e-001    6.630e-001   -1.933e-003
   67      67.000s    6.604e-001    6.586e-001   -1.833e-003
   68      68.000s    6.559e-001    6.542e-001   -1.730e-003
   69      69.000s    6.514e-001    6.498e-001   -1.613e-003
   70      70.000s    6.470e-001    6.455e-001   -1.489e-003
   71      71.000s    6.426e-001    6.412e-001   -1.369e-003
   72      72.000s    6.382e-001    6.369e-001   -1.288e-003
   73      73.000s    6.338e-001    6.327e-001   -1.170e-003
   74      74.000s    6.295e-001    6.285e-001   -1.002e-003
   75      75.000s    6.251e-001    6.243e-001   -8.750e-004
   76      76.000s    6.209e-001    6.201e-001   -8.006e-004
   77      77.000s    6.167e-001    6.160e-001   -6.956e-004
   78      78.000s    6.124e-001    6.119e-001   -5.354e-004
   79      79.000s    6.082e-001    6.078e-001   -4.255e-004
   80      80.000s    6.041e-001    6.037e-001   -3.258e-004
   81      81.000s    5.999e-001    5.997e-001   -1.800e-004
   82      82.000s    5.957e-001    5.957e-001   -3.599e-005
   83      83.000s    5.917e-001    5.917e-001    2.630e-005
   84      84.000s    5.877e-001    5.878e-001    9.856e-005
   85      85.000s    5.836e-001    5.839e-001    2.377e-004
   86      86.000s    5.796e-001    5.800e-001    3.826e-004
   87      87.000s    5.756e-001    5.761e-001    4.903e-004
   88      88.000s    5.717e-001    5.723e-001    5.730e-004
   89      89.000s    5.678e-001    5.685e-001    6.651e-004
   90      90.000s    5.639e-001    5.647e-001    8.099e-004
   91      91.000s    5.600e-001    5.609e-001    9.216e-004
   92      92.000s    5.562e-001    5.572e-001    9.311e-004
   93      93.000s    5.524e-001    5.535e-001    1.017e-003
   94      94.000s    5.486e-001    5.498e-001    1.175e-003
   95      95.000s    5.448e-001    5.461e-001    1.312e-003
   96      96.000s    5.410e-001    5.425e-001    1.471e-003
   97      97.000s    5.373e-001    5.388e-001    1.525e-003
   98      98.000s    5.337e-001    5.352e-001    1.585e-003
   99      99.000s    5.300e-001    5.317e-001    1.640e-003
  100     100.000s    5.264e-001    5.281e-001    1.744e-003
  101     101.000s    5.228e-001    5.246e-001    1.799e-003
  102     102.000s    5.192e-001    5.211e-001    1.892e-003
  103     103.000s    5.157e-001    5.176e-001    1.979e-003
  104     104.000s    5.121e-001    5.142e-001    2.065e-003
  105     105.000s    5.086e-001    5.108e-001    2.147e-003
  106     106.000s    5.052e-001    5.074e-001    2.185e-003
  107     107.000s    5.017e-001    5.040e-001    2.256e-003
  108     108.000s    4.983e-001    5.006e-001    2.340e-003
  109     109.000s    4.949e-001    4.973e-001    2.410e-003
  110     110.000s    4.915e-001    4.940e-001    2.455e-003
  111     111.000s    4.881e-001    4.907e-001    2.554e-003
  112     112.000s    4.848e-001    4.874e-001    2.598e-003
  113     113.000s    4.815e-001    4.841e-001    2.626e-003
  114     114.000s    4.782e-001    4.809e-001    2.742e-003
  115     115.000s    4.749e-001    4.777e-001    2.782e-003
  116     116.000s    4.718e-001    4.745e-001    2.764e-003
  117     117.000s    4.686e-001    4.714e-001    2.787e-003
  118     118.000s    4.654e-001    4.682e-001    2.799e-003
  119     119.000s    4.623e-001    4.651e-001    2.840e-003
  120     120.000s    4.591e-001    4.620e-001    2.925e-003
  121     121.000s    4.560e-001    4.589e-001    2.944e-003
  122     122.000s    4.529e-001    4.559e-001    2.982e-003
  123     123.000s    4.498e-001    4.528e-001    3.034e-003
  124     124.000s    4.467e-001    4.498e-001    3.078e-003
  125     125.000s    4.437e-001    4.468e-001    3.064e-003
  126     126.000s    4.408e-001    4.438e-001    2.994e-003
  127     127.000s    4.379e-001    4.409e-001    2.990e-003
  128     128.000s    4.349e-001    4.379e-001    3.026e-003
  129     129.000s    4.319e-001    4.350e-001    3.072e-003
  130     130.000s    4.290e-001    4.321e-001    3.140e-003
  131     131.000s    4.261e-001    4.292e-001    3.145e-003
  132     132.000s    4.233e-001    4.264e-001    3.095e-003
  133     133.000s    4.204e-001    4.235e-001    3.074e-003
  134     134.000s    4.176e-001    4.207e-001    3.091e-003
  135     135.000s    4.149e-001    4.179e-001    3.031e-003
  136     136.000s    4.121e-001    4.151e-001    2.992e-003
  137     137.000s    4.094e-001    4.123e-001    2.924e-003
  138     138.000s    4.067e-001    4.096e-001    2.888e-003
  139     139.000s    4.039e-001    4.069e-001    2.939e-003
  140     140.000s    4.013e-001    4.041e-001    2.873e-003
  141     141.000s    3.986e-001    4.015e-001    2.841e-003
  142     142.000s    3.960e-001    3.988e-001    2.810e-003
  143     143.000s    3.933e-001    3.961e-001    2.794e-003
  144     144.000s    3.907e-001    3.935e-001    2.807e-003
  145     145.000s    3.881e-001    3.909e-001    2.795e-003
  146     146.000s    3.855e-001    3.882e-001    2.736e-003
  147     147.000s    3.830e-001    3.857e-001    2.658e-003
  148     148.000s    3.805e-001    3.831e-001    2.569e-003
  149     149.000s    3.780e-001    3.805e-001    2.515e-003
  150     150.000s    3.755e-001    3.780e-001    2.461e-003
  151     151.000s    3.731e-001    3.755e-001    2.418e-003
  152     152.000s    3.706e-001    3.730e-001    2.344e-003
  153     153.000s    3.682e-001    3.705e-001    2.282e-003
  154     154.000s    3.658e-001    3.680e-001    2.188e-003
  155     155.000s    3.634e-001    3.656e-001    2.126e-003
  156     156.000s    3.611e-001    3.631e-001    2.072e-003
  157     157.000s    3.587e-001    3.607e-001    2.015e-003
  158     158.000s    3.563e-001    3.583e-001    2.036e-003
  159     159.000s    3.540e-001    3.559e-001    1.935e-003
  160     160.000s    3.517e-001    3.535e-001    1.858e-003
  161     161.000s    3.494e-001    3.512e-001    1.811e-003
  162     162.000s    3.471e-001    3.488e-001    1.753e-003
  163     163.000s    3.449e-001    3.465e-001    1.659e-003
  164     164.000s    3.426e-001    3.442e-001    1.614e-003
  165     165.000s    3.404e-001    3.419e-001    1.500e-003
  166     166.000s    3.383e-001    3.396e-001    1.378e-003
  167     167.000s    3.360e-001    3.374e-001    1.318e-003
  168     168.000s    3.339e-001    3.351e-001    1.222e-003
  169     169.000s    3.317e-001    3.329e-001    1.133e-003
  170     170.000s    3.296e-001    3.307e-001    1.067e-003
  171     171.000s    3.275e-001    3.285e-001    9.700e-004
  172     172.000s    3.254e-001    3.263e-001    8.460e-004
  173     173.000s    3.233e-001    3.241e-001    7.524e-004
  174     174.000s    3.213e-001    3.219e-001    6.792e-004
  175     175.000s    3.192e-001    3.198e-001    5.925e-004
  176     176.000s    3.171e-001    3.177e-001    5.248e-004
  177     177.000s    3.151e-001    3.155e-001    4.317e-004
  178     178.000s    3.132e-001    3.134e-001    2.623e-004
  179     179.000s    3.112e-001    3.113e-001    1.504e-004
  180     180.000s    3.092e-001    3.093e-001    8.042e-005
  181     181.000s    3.072e-001    3.072e-001    5.139e-005
  182     182.000s    3.053e-001    3.052e-001   -9.876e-005
  183     183.000s    3.034e-001    3.031e-001   -3.005e-004
  184     184.000s    3.016e-001    3.011e-001   -4.570e-004
  185     185.000s    2.996e-001    2.991e-001   -5.421e-004
  186     186.000s    2.977e-001    2.971e-001   -6.156e-004
  187     187.000s    2.958e-001    2.951e-001   -7.312e-004
  188     188.000s    2.940e-001    2.932e-001   -8.802e-004
  189     189.000s    2.922e-001    2.912e-001   -9.767e-004
  190     190.000s    2.904e-001    2.893e-001   -1.102e-003
  191     191.000s    2.885e-001    2.873e-001   -1.173e-003
  192     192.000s    2.867e-001    2.854e-001   -1.255e-003
  193     193.000s    2.849e-001    2.835e-001   -1.379e-003
  194     194.000s    2.831e-001    2.816e-001   -1.527e-003
  195     195.000s    2.814e-001    2.797e-001   -1.662e-003
  196     196.000s    2.797e-001    2.779e-001   -1.811e-003
  197     197.000s    2.779e-001    2.760e-001   -1.892e-003
  198     198.000s    2.762e-001    2.742e-001   -1.996e-003
  199     199.000s    2.744e-001    2.724e-001   -2.068e-003
  200     200.000s    2.727e-001    2.705e-001   -2.192e-003
  201     201.000s    2.711e-001    2.687e-001   -2.330e-003
  202     202.000s    2.694e-001    2.669e-001   -2.427e-003
  203     203.000s    2.677e-001    2.652e-001   -2.578e-003
  204     204.000s    2.661e-001    2.634e-001   -2.712e-003
  205     205.000s    2.645e-001    2.616e-001   -2.853e-003
  206     206.000s    2.628e-001    2.599e-001   -2.928e-003
  207     207.000s    2.612e-001    2.582e-001   -3.080e-003
  208     208.000s    2.597e-001    2.564e-001   -3.256e-003
  209     209.000s    2.581e-001    2.547e-001   -3.374e-003
  210     210.000s    2.565e-001    2.530e-001   -3.516e-003
  211     211.000s    2.550e-001    2.513e-001   -3.667e-003
  212     212.000s    2.535e-001    2.497e-001   -3.808e-003
  213     213.000s    2.520e-001    2.480e-001   -3.967e-003
  214     214.000s    2.504e-001    2.464e-001   -4.097e-003
  215     215.000s    2.489e-001    2.447e-001   -4.211e-003
  216     216.000s    2.474e-001    2.431e-001   -4.290e-003
  217     217.000s    2.458e-001    2.415e-001   -4.365e-003
  218     218.000s    2.444e-001    2.398e-001   -4.534e-003
  219     219.000s    2.429e-001    2.382e-001   -4.689e-003
  220     220.000s    2.415e-001    2.367e-001   -4.800e-003
  221     221.000s    2.400e-001    2.351e-001   -4.897e-003
  222     222.000s    2.386e-001    2.335e-001   -5.135e-003
  223     223.000s    2.372e-001    2.320e-001   -5.289e-003
  224     224.000s    2.358e-001    2.304e-001   -5.427e-003
  225     225.000s    2.344e-001    2.289e-001   -5.534e-003
  226     226.000s    2.330e-001    2.273e-001   -5.650e-003
  227     227.000s    2.316e-001    2.258e-001   -5.794e-003
  228     228.000s    2.302e-001    2.243e-001   -5.900e-003

============================================================

