Date : 8/6/2019	Time : 12:43:20	
C:\UVWINLAB\CG91U1.SP	
81.90	0.7329
82.20	0.7330
82.40	0.7334
82.70	0.7334
82.90	0.7333
83.20	0.7337
83.40	0.7339
83.70	0.7343
83.90	0.7343
84.20	0.7345
84.40	0.7346
84.70	0.7347
84.90	0.7349
85.20	0.7352
85.40	0.7351
85.70	0.7356
85.90	0.7356
86.20	0.7357
86.40	0.7360
86.70	0.7361
86.90	0.7363
87.20	0.7364
87.40	0.7365
87.70	0.7368
87.90	0.7368
88.20	0.7371
88.40	0.7371
88.70	0.7374
88.90	0.7376
89.20	0.7378
89.40	0.7377
89.70	0.7380
89.90	0.7380
90.20	0.7385
90.40	0.7386
90.70	0.7388
90.90	0.7388
91.20	0.7391
91.40	0.7393
91.70	0.7393
91.90	0.7393
92.20	0.7395
92.40	0.7396
92.70	0.7398
92.90	0.7401
93.20	0.7400
93.40	0.7401
93.70	0.7403
93.90	0.7403
94.20	0.7406
94.40	0.7409
94.70	0.7410
94.90	0.7411
95.20	0.7412
95.40	0.7414
95.70	0.7415
95.90	0.7415
96.20	0.7420
96.40	0.7421
96.70	0.7421
96.90	0.7423
